运单编号,签收省份,重量,价格
401100142428,上海,0.2,3.7
401075056928,重庆,0.2,5.6
400942474569,北京,0.2,5.2
401094774802,浙江省,0.5,3.7
400916045962,重庆,0.2,5.6
401117258984,江苏省,0.2,3.7
401124408416,浙江省,0.85,3.7
400916046000,上海,0.2,3.7
401034446290,天津,0.2,5.2
400937492502,四川省,0.2,5.6
401119160568,江苏省,0.2,3.7
400929261528,浙江省,0.5,3.7
400930750777,陕西省,0.2,5.6
401012838299,上海,0.2,3.7
400984755178,陕西省,0.2,5.6
401002618755,上海,0.2,3.7
400977639521,陕西省,0.2,5.6
400931943198,浙江省,0.25,3.7
400918602210,浙江省,0.2,3.7
400930750784,安徽省,0.25,3.7
400983795010,陕西省,0.2,5.6
401058796744,陕西省,0.2,5.6
400930376656,浙江省,0.5,3.7
401061199043,重庆,0.2,5.6
400930376599,江苏省,0.55,3.7
400915504164,江苏省,0.25,3.7
401107297075,重庆,0.2,5.6
400918121211,浙江省,0.25,3.7
400915504171,浙江省,0.2,3.7
400946061127,四川省,0.2,5.6
400989815955,安徽省,0.65,3.7
400979463876,安徽省,0.2,3.7
400978567026,江苏省,0.3,3.7
400977891245,上海,0.2,3.7
401034922780,重庆,0.2,5.6
401018778108,安徽省,0.65,3.7
400978567006,陕西省,0.2,5.6
401026343413,四川省,0.2,5.6
400955868494,四川省,0.2,5.6
401034503096,浙江省,0.25,3.7
400974391404,四川省,0.2,5.6
400954837436,江苏省,0.2,3.7
400984755222,江苏省,0.25,3.7
400978124077,江苏省,0.2,3.7
400986790098,江苏省,0.2,3.7
757195930004,上海,0.2,3.7
401011804272,重庆,0.2,5.6
400974391443,上海,0.2,3.7
400984125830,江苏省,0.75,3.7
400984098557,浙江省,0.2,3.7
401012838242,江苏省,0.3,3.7
401034503119,江苏省,0.35,3.7
401011804233,上海,0.2,3.7
400973353473,江苏省,0.25,3.7
400952682920,江苏省,0.2,3.7
401264308703,浙江省,1.05,4.7
401068274286,四川省,0.2,5.6
401071244460,四川省,0.2,5.6
400946339678,浙江省,0.4,3.7
401004127515,浙江省,0.3,3.7
401112915257,浙江省,1,3.7
401101458538,江苏省,0.25,3.7
401067856873,江苏省,0.45,3.7
401101951589,江苏省,0.25,3.7
401072169606,云南省,0.2,5.6
401123081316,四川省,0.2,5.6
400946519132,云南省,0.2,5.6
401004127508,陕西省,0.2,5.6
401004127717,四川省,0.2,5.6
400979792825,陕西省,0.2,5.6
401075056916,上海,0.2,3.7
401071244445,浙江省,0.25,3.7
401069414079,安徽省,0.2,3.7
401068584390,浙江省,0.2,3.7
400922270653,上海,0.2,3.7
401034446337,湖南省,0.2,5.2
401115494492,浙江省,0.25,3.7
401505623627,江苏省,1.05,4.7
401090382226,浙江省,0.35,3.7
401067242539,重庆,0.2,5.6
401123081279,江苏省,0.3,3.7
401022715910,上海,0.2,3.7
401103367920,云南省,0.2,5.6
401122974386,安徽省,0.55,3.7
401068274230,陕西省,0.2,5.6
400920319766,重庆,0.2,5.6
401114675100,浙江省,0.2,3.7
401032178373,北京,0.2,5.2
401096455148,浙江省,0.7,3.7
401022138769,上海,0.2,3.7
401102857486,江苏省,0.35,3.7
401128019990,浙江省,0.2,3.7
400940817591,陕西省,0.2,5.6
401032178386,上海,0.2,3.7
401012838250,云南省,0.2,5.6
400990614785,陕西省,0.2,5.6
400924963933,浙江省,0.2,3.7
401066502972,重庆,0.2,5.6
400892029199,浙江省,0.2,3.7
400944597764,江苏省,0.65,3.7
400936436524,江苏省,0.2,3.7
401103044106,云南省,0.2,5.6
757195930363,浙江省,0.2,3.7
400946339692,浙江省,0.25,3.7
401115947052,四川省,0.2,5.6
400913427023,陕西省,0.2,5.6
400922270621,四川省,0.2,5.6
400984098596,上海,0.2,3.7
400935589236,四川省,0.2,5.6
400913427070,江苏省,0.2,3.7
400983566411,贵州省,0.2,5.6
400977639514,浙江省,0.2,3.7
401034922746,安徽省,0.55,3.7
401022138796,四川省,0.2,5.6
401414611765,江苏省,1.05,4.7
400989815948,重庆,0.2,5.6
400949583116,浙江省,0.2,3.7
400983794972,云南省,0.2,5.6
400952905838,江苏省,0.3,3.7
400984755215,上海,0.2,3.7
401026343426,四川省,0.2,5.6
400929777323,江苏省,0.2,3.7
400978124091,江苏省,0.2,3.7
400979765905,安徽省,0.35,3.7
401011804226,浙江省,0.2,3.7
401069414030,四川省,0.2,5.6
400983566404,浙江省,0.2,3.7
400922961900,陕西省,0.2,5.6
400924963958,陕西省,0.2,5.6
401022715934,重庆,0.2,5.6
400989970867,四川省,0.2,5.6
400984755208,上海,0.2,3.7
401017436224,安徽省,0.25,3.7
401116367841,上海,0.2,3.7
400978566937,陕西省,0.2,5.6
401063106056,上海,0.2,3.7
401100142442,江苏省,0.2,3.7
401101469462,浙江省,0.2,3.7
401111581148,浙江省,0.5,3.7
400915504201,上海,0.2,3.7
401068495451,陕西省,0.2,5.6
401101951540,重庆,0.2,5.6
401112489023,贵州省,0.2,5.6
401101951601,浙江省,0.2,3.7
401058229881,浙江省,0.2,3.7
401066100381,安徽省,0.2,3.7
400918121204,陕西省,0.2,5.6
400977891226,重庆,0.2,5.6
401117259014,江苏省,0.2,3.7
401066100411,浙江省,0.2,3.7
401017436256,重庆,0.2,5.6
401004127700,上海,0.2,3.7
400978900892,重庆,0.2,5.6
401059194350,安徽省,0.2,3.7
401077523424,浙江省,0.2,3.7
400979792776,重庆,0.2,5.6
401103776703,浙江省,0.2,3.7
401075056886,浙江省,0.45,3.7
401100142386,江苏省,0.45,3.7
401097114708,浙江省,0.25,3.7
401124408373,江苏省,0.7,3.7
400978525866,四川省,0.2,5.6
400472717189,上海,0.2,3.7
400977639566,重庆,0.2,5.6
401096985582,江苏省,0.6,3.7
401115494478,浙江省,0.75,3.7
401004127478,湖南省,0.2,5.2
401032178310,云南省,0.2,5.6
400986402838,陕西省,0.2,5.6
401112549536,浙江省,0.25,3.7
401092269415,浙江省,0.45,3.7
400915504125,江苏省,0.25,3.7
401034922797,重庆,0.2,5.6
400918602158,江苏省,0.2,3.7
401034446305,贵州省,0.2,5.6
400916045970,江苏省,0.55,3.7
400940817584,浙江省,0.2,3.7
401021474637,重庆,0.2,5.6
400986402877,湖南省,0.2,5.2
757193007438,广东省,0.2,5.2
401077523400,陕西省,0.2,5.6
400936197146,江苏省,0.2,3.7
401068495513,重庆,0.2,5.6
400930376643,安徽省,0.55,3.7
400929261503,浙江省,0.45,3.7
400986402845,陕西省,0.2,5.6
400946061166,江苏省,0.2,3.7
400942589796,江苏省,0.3,3.7
401002618748,辽宁省,0.2,5.6
401114675094,上海,0.2,3.7
400929818304,浙江省,0.25,3.7
400946519164,江苏省,0.4,3.7
401022655176,云南省,0.2,5.6
757195930005,湖南省,0.2,5.2
400929777316,浙江省,0.65,3.7
400936436531,江苏省,0.2,3.7
400988142993,浙江省,0.2,3.7
401103776641,四川省,0.2,5.6
401743721930,江苏省,1.05,4.7
400946982086,上海,0.2,3.7
400946519189,四川省,0.2,5.6
400937492510,上海,0.2,3.7
401018778092,浙江省,0.55,3.7
401008251515,浙江省,0.35,3.7
400986077110,浙江省,0.5,3.7
401032178366,浙江省,0.55,3.7
400942589826,陕西省,0.2,5.6
400978900915,贵州省,0.2,5.6
401034922758,江苏省,0.2,3.7
401026343406,浙江省,0.4,3.7
401021474644,江苏省,0.2,3.7
400978900908,江苏省,0.2,3.7
401017436231,上海,0.2,3.7
401034729779,浙江省,0.2,3.7
401022715902,陕西省,0.2,5.6
401020363335,浙江省,0.2,3.7
400954837374,安徽省,0.4,3.7
401092269392,江西省,0.2,5.2
401018778130,浙江省,0.5,3.7
400974391399,上海,0.2,3.7
401004042276,江苏省,0.2,3.7
401004042296,江苏省,0.2,3.7
400983794980,浙江省,0.7,3.7
400977639546,浙江省,0.2,3.7
400978566951,安徽省,0.3,3.7
401022655156,四川省,0.2,5.6
400984125893,四川省,0.2,5.6
401272666077,贵州省,0.2,5.6
401233992448,云南省,0.2,5.6
401103776659,安徽省,0.3,3.7
401365104999,四川省,0.2,5.6
401112489070,浙江省,0.2,3.7
401351421913,四川省,0.2,5.6
401022655188,上海,0.2,3.7
401380587474,陕西省,0.2,5.6
401324696866,重庆,0.2,5.6
401103776686,江苏省,0.4,3.7
401101951596,上海,0.2,3.7
401346615763,四川省,0.2,5.6
401103776610,江苏省,0.2,3.7
401328977844,陕西省,0.2,5.6
401067242507,江苏省,0.2,3.7
401348838638,贵州省,0.2,5.6
401097114715,江苏省,0.3,3.7
401189125850,四川省,0.2,5.6
401117277674,重庆,0.2,5.6
401749019111,江苏省,1.05,4.7
401066995261,浙江省,0.55,3.7
401262357829,陕西省,0.2,5.6
400916046024,上海,0.2,3.7
401262482225,四川省,0.2,5.6
401100142403,安徽省,0.2,3.7
401346615788,陕西省,0.2,5.6
401293730992,重庆,0.2,5.6
401161609995,四川省,0.2,5.6
401188487638,贵州省,0.2,5.6
401350667247,重庆,0.2,5.6
401067242484,浙江省,0.55,3.7
401329481274,贵州省,0.2,5.6
400978124084,河南省,0.2,5.2
400946519171,江苏省,0.35,3.7
400918602133,江苏省,0.3,3.7
401750313601,安徽省,1.05,4.7
401122974442,上海,0.2,3.7
400929818329,江苏省,0.2,3.7
400930376581,浙江省,0.2,3.7
401343641239,重庆,0.2,5.6
400931010906,浙江省,0.45,3.7
401067856898,上海,0.2,3.7
401362574525,重庆,0.2,5.6
401359638224,云南省,0.2,5.6
401118798596,云南省,0.2,5.6
401279523504,陕西省,0.2,5.6
400929777309,浙江省,0.7,3.7
400946061141,江苏省,0.2,3.7
400984125847,浙江省,0.2,3.7
401262482264,重庆,0.2,5.6
400979792818,江苏省,0.3,3.7
401004127492,江苏省,0.3,3.7
401273138260,陕西省,0.2,5.6
401112915301,上海,0.2,3.7
400984363790,浙江省,0.2,3.7
401346615749,贵州省,0.2,5.6
400983566443,浙江省,0.2,3.7
401165787808,陕西省,0.2,5.6
401002618770,江苏省,0.2,3.7
401152580420,重庆,0.2,5.6
401149034122,四川省,0.2,5.6
400629791512,江苏省,0.55,3.7
400918763893,上海,0.2,3.7
400976816848,浙江省,0.35,3.7
401004042269,浙江省,0.2,3.7
400952905806,浙江省,0.75,3.7
400983795027,浙江省,0.5,3.7
400978525892,浙江省,0.2,3.7
400978900885,湖南省,0.2,5.2
401148548910,重庆,0.2,5.6
401017436263,江苏省,0.2,3.7
401034503101,江苏省,0.2,3.7
400973353535,湖南省,0.2,5.2
401282405322,重庆,0.2,5.6
400929818311,上海,0.2,3.7
401280256571,陕西省,0.2,5.6
401096985590,浙江省,0.2,3.7
401068274254,浙江省,0.2,3.7
401066502997,安徽省,0.2,3.7
401241629758,四川省,0.2,5.6
401101398060,浙江省,0.6,3.7
401380587467,重庆,0.2,5.6
401103776673,浙江省,0.2,3.7
401286983380,四川省,0.2,5.6
401059194335,江苏省,0.35,3.7
401233836537,上海,0.2,3.7
401103367890,浙江省,0.75,3.7
401173062696,重庆,0.2,5.6
401207124513,陕西省,0.2,5.6
401065658027,浙江省,0.2,3.7
401162013198,云南省,0.2,5.6
401069414061,安徽省,0.2,3.7
401242262007,上海,0.2,3.7
401066995279,江苏省,0.5,3.7
401175053109,四川省,0.2,5.6
401119160556,浙江省,0.35,3.7
401115946969,江苏省,0.3,3.7
401124408341,江苏省,0.7,3.7
401250471156,四川省,0.2,5.6
401110157654,浙江省,0.2,3.7
401244841151,四川省,0.2,5.6
401117259007,江苏省,0.35,3.7
401125370193,浙江省,0.2,3.7
401114675023,浙江省,0.6,3.7
401097114747,浙江省,0.2,3.7
401247121618,上海,0.2,3.7
401102857498,江苏省,0.2,3.7
401119160543,安徽省,0.25,3.7
401349208686,上海,0.2,3.7
401097114730,江苏省,0.2,3.7
401119160536,浙江省,0.2,3.7
401128020009,浙江省,0.3,3.7
400915504140,江苏省,0.55,3.7
401273550253,上海,0.2,3.7
401353767950,陕西省,0.2,5.6
401826934720,浙江省,1.05,4.7
400936197126,安徽省,0.4,3.7
400928679567,江苏省,0.55,3.7
757195930003,黑龙江省,0.2,5.6
401320855066,四川省,0.2,5.6
400937492465,浙江省,0.35,3.7
400918602165,安徽省,0.2,3.7
400945496306,江苏省,0.25,3.7
400930376629,浙江省,0.7,3.7
400916045994,安徽省,0.2,3.7
401328608137,四川省,0.2,5.6
400946982073,浙江省,0.2,3.7
400952905776,湖南省,0.2,5.2
400986402813,安徽省,0.2,3.7
400984755254,湖南省,0.2,5.2
401333759276,上海,0.2,3.7
400984098589,安徽省,0.25,3.7
400955868517,江苏省,0.55,3.7
400952483427,浙江省,0.2,3.7
400979792756,江苏省,0.75,3.7
401170515209,上海,0.2,3.7
401148538582,上海,0.2,3.7
401320371572,陕西省,0.2,5.6
401022715941,浙江省,0.3,3.7
400944597796,浙江省,0.2,3.7
400945502157,浙江省,0.2,3.7
400979792832,湖南省,0.2,5.2
401189389716,四川省,0.2,5.6
401018778046,江苏省,0.45,3.7
401170515193,四川省,0.2,5.6
400952905826,浙江省,0.3,3.7
401172266368,陕西省,0.2,5.6
401193899823,重庆,0.2,5.6
401263267605,重庆,0.2,5.6
401265731466,云南省,0.2,5.6
400989815923,浙江省,0.55,3.7
400978525853,浙江省,0.5,3.7
401279137506,上海,0.2,3.7
401230953443,云南省,0.2,5.6
401161610056,上海,0.2,3.7
401229512135,重庆,0.2,5.6
400988142954,浙江省,0.35,3.7
401272852553,四川省,0.2,5.6
401004127687,浙江省,0.7,3.7
401324058704,四川省,0.2,5.6
401179938927,重庆,0.2,5.6
400986077097,江苏省,0.45,3.7
401153963727,重庆,0.2,5.6
401100594487,安徽省,0.25,3.7
757195930011,四川省,0.2,5.6
401101458496,安徽省,0.8,3.7
401161610011,重庆,0.2,5.6
401348838645,上海,0.2,3.7
401100142373,浙江省,0.2,3.7
401075056898,浙江省,0.25,3.7
401064381246,江苏省,0.65,3.7
401229994186,重庆,0.2,5.6
401061199004,浙江省,0.2,3.7
401247121588,重庆,0.2,5.6
401111581136,浙江省,0.2,3.7
401330177799,云南省,0.2,5.6
401072169524,浙江省,0.3,3.7
401068495444,浙江省,0.2,3.7
401328507019,陕西省,0.2,5.6
401058229899,浙江省,0.55,3.7
401057679653,浙江省,0.2,3.7
401066100429,浙江省,0.25,3.7
401103776698,安徽省,0.2,3.7
401375402551,上海,0.2,3.7
401373411181,重庆,0.2,5.6
401819906929,安徽省,1.05,4.7
401200424947,重庆,0.2,5.6
401069414022,浙江省,0.45,3.7
401068841912,浙江省,0.2,3.7
401162013216,上海,0.2,3.7
401170755654,四川省,0.2,5.6
401115947026,浙江省,0.45,3.7
401110157686,浙江省,0.25,3.7
401101458506,浙江省,0.75,3.7
401100594448,浙江省,0.65,3.7
401112915225,浙江省,0.4,3.7
401188682376,重庆,0.2,5.6
400922961976,江苏省,0.25,3.7
400945502189,浙江省,0.2,3.7
401168286326,陕西省,0.2,5.6
400942589801,江苏省,0.75,3.7
401765291647,浙江省,1.05,4.7
400928679629,江苏省,0.2,3.7
401040578439,重庆,0.2,5.6
400924561721,浙江省,0.3,3.7
400922961931,浙江省,0.75,3.7
400940817607,江苏省,0.2,3.7
401147118695,贵州省,0.2,5.6
401146233885,上海,0.2,3.7
757195930007,广东省,0.2,5.2
400930750760,江苏省,0.9,3.7
401237398152,上海,0.2,3.7
401012838267,江苏省,0.2,3.7
401207124526,重庆,0.2,5.6
400978525885,浙江省,0.3,3.7
401002618762,安徽省,0.2,3.7
400984125854,江苏省,0.45,3.7
401235033650,四川省,0.2,5.6
401119183525,四川省,0.2,5.6
401022655225,江苏省,0.2,3.7
401091229998,陕西省,0.2,5.6
401229512181,上海,0.2,3.7
400989970798,江苏省,0.2,3.7
401164268234,陕西省,0.2,5.6
