运单编号,目的地,计费重量,总运费,备注
3307538456955,广东省,0.2,6.3,
3307538456943,北京,0.2,6.3,
3307538456931,北京,0.6,6.3,
3307538456920,广东省,0.6,6.3,
3307559377850,山东省,0.2,6.3,
3307538456918,广东省,0.45,6.3,
3307559377861,河北省,0.2,6.3,
3307570891802,福建省,0.75,6.3,
3307570891814,湖南省,0.3,6.3,
3307570891826,内蒙古自治区,0.2,6.3,
3307509716463,山东省,0.25,6.3,
3307467837933,山东省,0.72,6.3,
3307467837975,江苏省,0.2,4,
3307467837969,河南省,0.28,6.3,
3307467837957,山东省,0.3,6.3,
3307467837945,山西省,0.2,6.3,
3307467837982,广东省,0.55,6.3,
3307464316570,江苏省,0.5,4,
3307464316568,北京,0.25,6.3,
3307464316556,北京,1.3,8.19,
3307464316544,山西省,0.8,6.3,
3307464316532,河南省,0.7,6.3,
3307475989738,广东省,0.8,6.3,
3307468469006,广东省,0.6,6.3,
3307468469018,广东省,0.5,6.3,
3307468469020,河北省,0.95,6.3,
3307468469031,山东省,0.2,6.3,
3307468469043,湖北省,0.42,6.3,
3307468469055,天津,0.49,6.3,
3307475989696,黑龙江省,0.55,6.3,
3307475989702,河南省,0.47,6.3,
3307475989714,河南省,0.7,6.3,
3307475989726,广东省,1.45,9.45,
3307464316525,青海省,0.38,6.3,
3307506994245,湖北省,0.2,6.3,
3307507079001,吉林省,0.5,6.3,
3307507078998,福建省,1.05,6.93,
3307507078986,北京,0.6,6.3,
3307507078974,广东省,0.2,6.3,
3307507079013,内蒙古自治区,0.51,6.3,
3307506994215,青海省,0.2,6.3,
3307506994203,内蒙古自治区,0.4,6.3,
3307506994197,河北省,0.75,6.3,
3307509716396,北京,0.4,6.3,
3307506994185,福建省,0.2,6.3,
3307574497661,山东省,0.2,6.3,
3307507079025,山西省,0.32,6.3,
3307507079037,吉林省,0.55,6.3,
3307507079049,广东省,0.3,6.3,
3307507079055,青海省,0.2,6.3,
3307507079062,北京,0.75,6.3,
3307574737437,湖南省,0.2,6.3,
3307574737449,江西省,0.2,6.3,
3307568818363,山西省,0.2,6.3,
3307568818351,河南省,0.25,6.3,
